,id,synopsis,movie_rating,genre,director,writer,theater_date,dvd_date,currency,box_office,runtime,studio,review,review_rating,fresh,critic,top_critic,publisher,date
33672,1321,"In his follow-up to the four-time Academy Award (R)-nominated blockbuster The Help, Tate Taylor directs 42's Chadwick Boseman as James Brown in Get on Up. Based on the incredible life story of the Godfather of Soul, the film will give a fearless look inside the music, moves and moods of Brown, taking audiences on the journey from his impoverished childhood to his evolution into one of the most influential figures of the 20th century. Boseman is joined in the drama by Viola Davis, Octavia Spencer, Nelsan Ellis, Lennie James, Tika Sumpter, Jill Scott and Dan Aykroyd.",PG-13,Drama,Tate Taylor,Tate Taylor|Jez Butterworth|John-Henry Butterworth|Steven Baigelman,"Aug 1, 2014","Jan 6, 2015",$,22838662,138 minutes,Universal Pictures,An arresting encapsulation of Brown's dichotomy of being at once a soulful singer and at the same time a man incapable of showing affection.,0.8,fresh,Joseph Walsh,0,CineVue,"August 22, 2018"
34041,1327,"Charles S. Dutton's feature-length directorial debut Against the Ropes is based on the real-life story of Jackie Kallen, a Jewish woman from Detroit who became a successful boxing manager. Played by Meg Ryan, Kallen works her way up in the world of boxing by believing in the fighting skills of Luther Shaw (Omar Epps). Director Dutton appears as veteran trainer Felix Reynolds, whom Kallen encourages to come out of retirement.",PG-13,Drama,,Cheryl Edwards,"Feb 20, 2004","Jul 13, 2004",$,5696752,110 minutes,Paramount Pictures,Uninspired tale feels like a made-for-TV movie.,0.4,rotten,Nell Minow,0,Common Sense Media,"September 9, 2010"
34317,1334,"Dating guru Matthew Taylor (Shemar Moore) falls for celebrity therapist Kristin Peralta (Nadine Velazquez) while he does a book tour to promote his best-selling self-help guide. In time, their relationship forces him to confront his issues stemming from a prior breakup. Directed by Youssef Delara.",PG-13,Comedy|Romance,Youssef Delara,Victor Teran|Youssef Delara|Staci Robinson,"Dec 9, 2016","Apr 4, 2017",$,320676,104 minutes,,Predictable romcom will appeal most to adults. ,0.4,rotten,Sandie Angulo,0,Common Sense Media,"February 10, 2017"
34385,1337,"On the morning of his re-election, the President decides to read the newspaper for the first time in four years. This starts him down a slippery slope. He begins reading obsessively, reexamining his black and white view of the world, holing up in his bedroom in his pajamas. Frightened by the President's apparent nervous breakdown, his Chief of Staff pushes him back into the spotlight, booking him as a guest judge on the television ratings juggernaut (and the President's personal fave), the weekly talent show American Dreamz. America can't seem to get enough of American Dreamz, hosted by self-aggrandizing, self-loathing Martin Tweed, ever on the lookout for the next insta-celebrity. His latest crop of hopefuls includes Sally, a conniving steel magnolia with a devoted, dopey veteran boyfriend, and Omer, a recent Southern Californian immigrant (who just happens to be a bumbling, show tune singing, would-be terrorist awaiting activation). When both Sally and Omer make it to the final round of Dreamz -- where the President will be judging along with Tweed -- the stage is set for a show the nation will never forget.",PG-13,Comedy|Drama,Paul Weitz,Paul Weitz,"Apr 21, 2006","Oct 3, 2006",$,7156725,108 minutes,Universal Pictures,"American Dreamz tries hard to be both important and farcical, but it leans a bit too much towards farce without being funny enough to pull that off either. It's decent, but uninspired.",0.7,fresh,Joshua Starnes,0,ComingSoon.net,"December 28, 2010"
34547,1339,"When her director husband is occupied with work in Paris, an American woman takes a jaunt with his business associate, a charming Gallic rogue who is happy to squire her on a tour of some of the finest meals in Provence. The first feature directed by Eleanor Coppola, wife of Francis and director of the ""Apocalypse Now"" documentary ""Hearts of Darkness"".",PG,Comedy|Romance,Eleanor Coppola,Eleanor Coppola,"May 12, 2017","Sep 5, 2017",$,5617321,92 minutes,Sony Pictures Classics,"Once the travelogue novelty of the posh locations and fine cuisine wears off--which is quickly, if not almost immediately--this slog feels like it is unfolding in real, interminable time.",0.5,rotten,Michael Dequina,0,TheMovieReport.com,"January 31, 2018"
34643,1340,"Produced by MTV Films, The Perfect Score is a teen crime comedy about a group of high school students who decide to steal the answers to the SAT exam. Kyle (Chris Evans) wants to be an architect, but his scores are too low to get into the school of his choice. Matty (Bryan Greenberg) is heartbroken when he is rejected from the school to which his girlfriend goes. Good girl Anna (Erika Christensen) is pressured by her parents to excel in academics and remain innocent. Desmond (Darius Miles) is a basketball player who believes the SAT exam is racist. Rounding out the group is gutsy Francesca (Scarlett Johansson) and lonely Roy (Leonardo Nam).",PG-13,Comedy|Drama|Mystery and Suspense,Brian Robbins,Mark Schwahn|Marc Hyman|Jon Zack,"Jan 30, 2004","Jun 29, 2004",$,10279192,92 minutes,Paramount Pictures,"Not terrible, but this MTV teen movie falls flat.",0.4,rotten,Nell Minow,0,Common Sense Media,"December 28, 2010"
34740,1341,"Two Oscar-winning actors add a family-oriented comedy to their resumes with this Disney-produced arctic adventure. Snow Dogs stars Cuba Gooding Jr. as Ted Brooks, a Florida-dwelling dentist with a successful chain of offices and a comfy, poolside lifestyle. All this changes, however, when he finds out that he was actually adopted as a child, and that his birth mother has died and left him an inheritance in her home state of Alaska, of all places. After arriving in the snow-bound clime, Ted learns that he has been willed a pack of cutely named sled dogs: Demon, Diesel, Dutchess, Nana, Mack, Scooper, Sniff, and Yodel. Problem is, the town's premiere sled-dogger, Thunder Jack (James Coburn), wants the pack for himself, and encourages Ted to go back to his tropical environs. But with a major sled-dog race looming, Ted's inspired to learn the ropes, as it were, and prove himself worthy of his birth mother's inheritance -- any way he can. Snow Dogs was directed by Jingle All the Way's Brian Levant and features some animatronic dog effects by Jim Henson's Creature Shop; the script was very loosely adapted from popular author Gary Paulsen's nonfiction book Winterdance: The Fine Madness of Running the Iditarod.",PG,Action and Adventure|Comedy|Kids and Family,Brian Levant,,"Jan 18, 2002","May 14, 2002",$,81110575,99 minutes,Buena Vista Distribution Compa,"Comic action, appealing hero, splendid dogs; some scares.",0.6,fresh,Renee Schonfeld,0,Common Sense Media,"August 5, 2014"
34901,1362,"BLACK OR WHITE is the story of a grandfather (Academy Award (R) winner Kevin Costner) who is suddenly left to care for his beloved granddaughter. When her paternal grandmother (Academy Award (R) winner Octavia Spencer) seeks custody with the help of her brother (Anthony Mackie), the little girl is torn between two families who love her deeply. With the best intentions at heart, both families fight for what they feel is right and are soon forced to confront their true feelings about race, forgiveness, and understanding. Anchored by an all-star cast and based on real events, the movie is a look at two seemingly different worlds, in which nothing is as simple as black or white. (C) Relativity",PG-13,Drama,Mike Binder,Mike Binder,"Jan 30, 2015","May 5, 2015",$,15504419,90 minutes,,"Simply casting too wide a net to feel truly satisfying. In trying to be color blind, it just comes off as tone deaf.",0.47,rotten,Zaki Hasan,0,Zaki's Corner,"November 2, 2018"
35196,1376,"""Couples Retreat"" follows four Midwestern couples who embark on a journey to a tropical island resort. While one of the couples is there to work on their marriage, the other three set out to jet ski, spa and enjoy some fun in the sun. They soon discover that participation in the resort's couple's therapy is not optional. Suddenly, their group-rate vacation comes at a price. What follows is a hilarious look at real world problems faced by all couples.",PG-13,Comedy,Peter Billingsley,Jon Favreau|Vince Vaughn|Dana Fox,"Oct 9, 2009","Feb 9, 2010",$,109176215,107 minutes,Universal Pictures,A Tyler Perry movie for white folks. ,0.38,rotten,Josh Larsen,0,LarsenOnFilm,"March 4, 2011"
35370,1381,"When a one-night stand that should have stayed that way has unexpected consequences, the reluctant odd couple attempts to transform their tentative relationship into a lasting love in this conception comedy. Twenty-four-year-old entertainment journalist Alison Scott (Katherine Heigl) is on the fast track to the big time, but an alcohol-fueled hookup with responsibility-shirking slacker Ben Stone (Seth Rogen) finds her professional priorities taking a back seat to having a baby.",R,Comedy|Romance,Judd Apatow,Judd Apatow,"Jun 1, 2007","Sep 25, 2007",$,148734225,129 minutes,Universal,What makes Knocked Up stand out is not just the fact that the jokes are side-splittingly funny but that nearly everything that happens to the couple rings so true. ,0.8,fresh,Kaleem Aftab,0,The List,"November 3, 2018"
35586,1383,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother. (C) Fox",PG,Animation|Comedy|Kids and Family,Walt Becker,,"Dec 18, 2015","Mar 15, 2016",$,66580191,86 minutes,20th Century Fox,There is very little heart to all the mad rush in the movie.,0.5,rotten,Mohar Basu,0,The Times of India,"November 8, 2017"
